frame_number,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp
28,34542976000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
29,34576306000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
30,34609644000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
31,34642977000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
32,34676310000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
33,34709646000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
34,34742979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
35,34776313000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
36,34809651000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
37,34842979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
38,34876314000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
39,34909646000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
40,34942979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
41,34976316000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
42,35009645000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
43,35042979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
44,35076311000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
45,35109649000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
46,35142978000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
47,35176309000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
48,35209638000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
49,35242974000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
50,35276308000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
51,35309635000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
52,35342973000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
53,35376326000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
54,35409649000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
55,35442980000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
56,35476313000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
57,35509648000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
58,35542980000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
59,35576316000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
60,35609646000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
61,35642976000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
62,35676301000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
63,35709647000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
64,35742980000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
65,35776314000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
66,35809648000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
67,35842979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
68,35876312000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
69,35909648000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
70,35942979000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
71,35976313000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
72,36009643000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
73,36042967000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
74,36076308000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
75,36109640000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
76,36142976000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
77,36176306000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
78,36209640000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
79,36242972000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
80,36276305000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
81,36309648000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
82,36342980000,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,4.6781260351637904e-32,1.1210387714598537e-44,0.9074024558067322
